Region no,Salesman no,Product Code,Units Sold
3,2,A1010000,10
3,2,B2000000,2
1,5,B2000000,12
1,1,B2000000,5
3,4,G7000000,7
4,3,C3000000,7
2,6,E5000000,2
2,5,B2000000,4
2,5,B2000000,3
3,5,H8000000,2
4,6,B2000000,5
1,1,F6000000,19
2,4,F6000000,11
2,2,C3000000,2
1,6,G7000000,5
4,3,A1010000,5
3,1,E5000000,3
2,6,D4000000,6
4,5,F6000000,6
4,4,D4000000,6
4,5,E5000000,12
3,6,H8000000,20
2,1,B2000000,35
3,6,A1010000,2
2,5,D4000000,10
3,3,G7000000,17
4,1,H8000000,14
2,3,G7000000,7
1,4,F6000000,17
3,4,G7000000,16
3,5,F6000000,15
1,6,F6000000,4
4,1,B2000000,16
3,5,F6000000,6
4,5,F6000000,2
4,4,D4000000,10
1,3,C3000000,10
3,5,D4000000,8
4,6,F6000000,2
1,6,A1010000,35
4,6,G7000000,21
2,4,E5000000,14
3,6,E5000000,27
1,1,A1010000,34
3,1,D4000000,7
2,3,F6000000,2
1,1,E5000000,15
2,2,G7000000,10
3,4,H8000000,6
3,5,D4000000,33
3,5,A1010000,6
3,4,C3000000,9
1,3,F6000000,24
1,2,H8000000,6
1,4,C3000000,9
1,1,G7000000,5
1,5,H8000000,9
2,4,A1010000,32
2,3,C3000000,1
2,2,D4000000,11
1,5,F6000000,1
3,1,F6000000,11
1,4,H8000000,3
1,6,E5000000,30
1,5,B2000000,23
1,3,E5000000,6
1,4,F6000000,8
2,4,C3000000,30
1,4,C3000000,6
4,3,F6000000,7
2,5,G7000000,10
4,2,C3000000,11
1,6,C3000000,6
3,3,F6000000,2
4,2,B2000000,8
4,3,H8000000,4
2,1,A1010000,10
3,4,G7000000,26
2,4,G7000000,20
2,3,G7000000,15
4,4,D4000000,13
3,4,H8000000,7
2,3,G7000000,11
2,5,H8000000,6
3,5,F6000000,17
1,1,H8000000,13
3,1,B2000000,4
2,4,E5000000,7
4,4,B2000000,11
2,6,A1010000,1
1,5,A1010000,5
2,1,C3000000,10
3,1,D4000000,8
1,3,A1010000,12
3,6,G7000000,7
1,2,E5000000,8
3,5,E5000000,6
1,4,E5000000,8
3,6,B2000000,11
4,1,D4000000,15
4,4,G7000000,7
1,1,D4000000,15
1,4,E5000000,9
1,5,E5000000,2
3,3,D4000000,11
1,5,B2000000,14
4,4,H8000000,4
4,5,E5000000,26
4,5,C3000000,7
3,2,D4000000,25
3,1,D4000000,2
3,4,E5000000,3
1,2,B2000000,11
4,1,H8000000,22
1,6,E5000000,15
3,1,B2000000,7
1,5,F6000000,9
2,2,D4000000,9
2,5,A1010000,5
4,1,G7000000,4
4,3,B2000000,16
3,4,A1010000,5
3,2,E5000000,2
2,4,F6000000,14
3,1,C3000000,7
3,2,B2000000,8
3,5,C3000000,8
4,1,A1010000,11
4,6,D4000000,10
3,4,H8000000,3
3,1,B2000000,25
1,6,A1010000,9
2,4,E5000000,9
3,1,G7000000,15
3,1,F6000000,3
1,3,G7000000,10
4,6,C3000000,10
1,2,B2000000,4
4,3,H8000000,5
2,2,A1010000,2
4,4,C3000000,2
2,5,H8000000,32
3,4,C3000000,14
1,6,B2000000,26
2,3,G7000000,5
1,2,G7000000,19
2,5,B2000000,6
4,5,A1010000,22
3,3,E5000000,9
3,3,B2000000,9
3,1,F6000000,9
2,5,F6000000,5
3,2,E5000000,3
2,2,A1010000,15
2,3,A1010000,2
2,3,F6000000,7
3,2,H8000000,19
4,3,F6000000,5
2,5,B2000000,10
3,1,B2000000,21
1,3,F6000000,12
4,3,D4000000,6
4,5,E5000000,7
2,5,D4000000,21
4,1,F6000000,6
2,3,B2000000,11
2,3,B2000000,10
3,6,C3000000,30
2,2,B2000000,18
2,2,H8000000,11
3,6,G7000000,5
2,2,B2000000,17
3,6,D4000000,4
3,1,E5000000,20
2,3,G7000000,3
3,2,F6000000,4
1,3,A1010000,20
3,3,E5000000,3
4,6,B2000000,15
2,2,E5000000,3
2,3,B2000000,15
4,2,D4000000,6
1,2,F6000000,2
3,3,D4000000,14
4,2,B2000000,17
3,1,D4000000,22
1,3,H8000000,34
2,4,B2000000,10
3,2,E5000000,8
3,5,E5000000,13
2,2,F6000000,6
3,6,C3000000,10
4,4,H8000000,6
2,5,F6000000,16
1,5,G7000000,18
4,5,C3000000,4
3,6,F6000000,27
4,4,H8000000,11
1,6,G7000000,6
2,1,G7000000,3
3,6,H8000000,17
1,2,F6000000,29
3,1,H8000000,6
1,6,C3000000,2
4,6,G7000000,29
3,5,H8000000,15
2,6,D4000000,19
4,2,G7000000,20
1,2,C3000000,1
2,2,D4000000,18
3,2,B2000000,2
3,4,F6000000,9
4,5,A1010000,3
3,4,A1010000,10
2,1,A1010000,31
2,2,D4000000,7
1,2,H8000000,3
3,6,F6000000,5
3,5,G7000000,13
4,6,E5000000,4
3,6,C3000000,13
4,3,E5000000,12
2,2,E5000000,9
3,6,H8000000,5
1,4,F6000000,6
1,6,F6000000,9
1,5,C3000000,4
4,2,E5000000,14
3,6,B2000000,12
4,1,A1010000,10
1,2,D4000000,6
3,4,D4000000,3
3,1,F6000000,13
1,1,F6000000,27
2,5,D4000000,3
4,3,C3000000,6
1,1,C3000000,2
4,6,G7000000,24
3,6,D4000000,1
1,2,D4000000,2
3,6,G7000000,9
2,6,G7000000,9
3,5,E5000000,20
1,4,D4000000,18
3,2,B2000000,15
1,6,B2000000,8
2,6,E5000000,27
2,1,B2000000,11
4,6,E5000000,3
3,3,A1010000,15
4,5,D4000000,5
3,5,A1010000,8
4,2,E5000000,3
3,1,D4000000,7
2,3,F6000000,19
1,5,F6000000,4
4,4,C3000000,6
2,2,A1010000,6
3,6,H8000000,10
1,4,E5000000,10
1,2,H8000000,1
1,2,B2000000,7
2,5,E5000000,3
4,5,E5000000,19
4,2,C3000000,6
4,2,B2000000,8
1,2,G7000000,9
1,1,C3000000,3
1,3,H8000000,6
4,1,H8000000,12
4,5,C3000000,7
3,3,B2000000,3
3,5,C3000000,13
4,1,F6000000,19
1,4,F6000000,2
3,4,H8000000,6
3,1,A1010000,17
3,1,B2000000,8
3,3,B2000000,3
2,2,G7000000,8
3,1,F6000000,5
4,5,C3000000,15
4,1,B2000000,5
2,6,F6000000,5
1,1,G7000000,1
2,5,A1010000,17
2,2,G7000000,9
3,5,A1010000,20
2,6,B2000000,11
1,6,G7000000,5
4,5,D4000000,1
4,3,F6000000,12
3,6,H8000000,16
3,5,F6000000,6
1,5,A1010000,21
1,4,E5000000,14
4,5,B2000000,7
1,2,D4000000,3
2,6,E5000000,10
2,6,C3000000,2
3,2,F6000000,4
4,5,F6000000,14
4,3,B2000000,9
1,6,F6000000,13
4,4,B2000000,8
2,2,F6000000,5
3,3,E5000000,25
4,1,F6000000,7
1,3,E5000000,10
1,1,A1010000,9
3,4,H8000000,4
1,6,G7000000,29
4,1,B2000000,4
1,3,H8000000,6
2,4,D4000000,5
4,6,F6000000,5
4,2,B2000000,21
1,3,B2000000,16
4,1,F6000000,32
3,2,E5000000,4
4,6,E5000000,8
2,6,C3000000,5
1,4,A1010000,7
1,3,H8000000,7
4,5,C3000000,3
1,3,F6000000,5
4,5,H8000000,9
3,3,D4000000,8
3,1,G7000000,19
1,5,D4000000,18
4,5,B2000000,6
2,4,B2000000,4
3,5,E5000000,3
2,4,A1010000,1
2,5,A1010000,1
4,1,D4000000,23
4,4,E5000000,20
2,5,A1010000,7
2,4,D4000000,1
3,6,H8000000,9
2,3,D4000000,7
3,5,F6000000,17
2,6,B2000000,2
1,1,F6000000,8
1,2,C3000000,18
4,6,E5000000,18
4,6,G7000000,31
4,1,A1010000,9
1,2,G7000000,15
4,6,A1010000,3
1,4,C3000000,19
2,3,C3000000,2
3,3,A1010000,8
4,4,A1010000,5
1,4,F6000000,34
3,1,F6000000,9
4,2,G7000000,25
3,4,A1010000,14
2,6,D4000000,9
3,5,G7000000,5
4,2,A1010000,10
1,4,F6000000,10
2,4,A1010000,9
4,1,A1010000,29
3,5,H8000000,12
3,5,H8000000,20
1,4,F6000000,5
1,6,B2000000,3
1,1,G7000000,14
2,4,D4000000,6
1,1,D4000000,2
3,4,A1010000,15
3,1,B2000000,2
4,5,F6000000,13
3,2,H8000000,6
3,3,D4000000,12
1,6,C3000000,1
4,2,F6000000,15
2,6,F6000000,1
1,5,E5000000,19
3,5,A1010000,8
1,4,E5000000,34
2,5,F6000000,22
3,1,B2000000,16
3,2,H8000000,7
3,4,C3000000,22
3,2,C3000000,8
1,2,B2000000,18
4,2,C3000000,8
1,4,C3000000,3
4,6,E5000000,10
2,6,B2000000,29
2,3,A1010000,7
3,2,H8000000,7
1,4,H8000000,6
2,1,F6000000,30
3,6,H8000000,4
3,6,E5000000,1
3,4,F6000000,11
4,2,H8000000,1
1,1,F6000000,20
2,1,H8000000,8
1,4,G7000000,8
3,5,F6000000,8
3,1,D4000000,2
1,2,D4000000,19
4,6,B2000000,14
2,4,C3000000,16
4,2,G7000000,13
3,6,C3000000,13
1,2,H8000000,10
4,3,C3000000,6
4,5,E5000000,7
4,5,A1010000,20
4,3,D4000000,12
4,2,F6000000,20
2,5,G7000000,20
3,6,E5000000,4
4,6,G7000000,3
3,6,B2000000,5
2,3,H8000000,18
3,3,D4000000,22
3,6,H8000000,17
1,3,B2000000,17
4,2,G7000000,13
3,4,E5000000,7
3,4,H8000000,2
2,1,D4000000,4
1,1,H8000000,2
3,4,D4000000,2
4,6,E5000000,10
2,2,D4000000,20
4,1,E5000000,34
1,6,G7000000,10
1,2,B2000000,8
4,4,E5000000,18
3,2,D4000000,9
4,2,D4000000,19
3,5,G7000000,6
2,5,C3000000,17
2,6,E5000000,3
2,4,D4000000,13
1,6,H8000000,13
3,3,C3000000,4
1,4,E5000000,11
4,2,C3000000,33
1,5,D4000000,2
4,3,F6000000,3
3,1,A1010000,2
3,3,G7000000,3
4,6,C3000000,5
2,6,D4000000,3
1,4,G7000000,16
1,4,E5000000,10
3,2,A1010000,1
3,4,G7000000,35
3,6,D4000000,3
2,1,F6000000,16
2,2,F6000000,3
1,1,A1010000,15
3,1,E5000000,17
1,2,A1010000,9
3,3,E5000000,3
1,4,C3000000,2
1,3,C3000000,6
4,3,E5000000,15
4,1,G7000000,10
2,3,E5000000,7
1,4,F6000000,6
3,5,D4000000,7
2,6,H8000000,1
1,1,G7000000,2
2,4,E5000000,9
4,3,A1010000,34
4,1,D4000000,5
1,4,D4000000,6
1,1,B2000000,8
1,3,B2000000,5
4,3,G7000000,9
3,6,B2000000,9
1,6,D4000000,10
3,1,E5000000,30
2,6,B2000000,24
2,6,B2000000,30
4,2,H8000000,19
1,4,D4000000,3
3,1,A1010000,17
1,1,F6000000,9
2,4,A1010000,16
1,4,D4000000,12
2,6,H8000000,1
2,6,G7000000,9
1,5,E5000000,6
1,6,H8000000,10
3,1,A1010000,16
3,5,D4000000,12
1,2,G7000000,3
4,1,A1010000,3
4,5,A1010000,10
4,1,D4000000,7
1,1,G7000000,16
1,5,B2000000,20
3,2,A1010000,18
3,5,H8000000,3
2,6,G7000000,6
3,2,F6000000,5
1,1,A1010000,27
1,6,A1010000,16
3,1,C3000000,8
1,3,A1010000,15
2,5,C3000000,27
1,3,F6000000,34
3,5,D4000000,2
2,2,E5000000,3
4,4,A1010000,9
2,3,B2000000,24
4,2,C3000000,10
4,1,B2000000,13
3,4,C3000000,24
1,3,D4000000,34
1,5,G7000000,9
4,5,G7000000,10
3,2,D4000000,4
4,2,A1010000,13
3,4,B2000000,10
1,6,C3000000,12
4,1,H8000000,17
4,5,F6000000,9
4,3,G7000000,26
3,6,F6000000,15
2,1,F6000000,13
4,2,C3000000,19
4,4,G7000000,3
1,4,A1010000,12
3,6,F6000000,3
3,2,G7000000,28
3,2,D4000000,16
2,2,B2000000,16
4,5,G7000000,6
1,6,A1010000,7
3,6,D4000000,15
2,4,C3000000,18
4,6,F6000000,6
2,2,E5000000,12
4,5,D4000000,6
3,4,D4000000,16
2,6,F6000000,24
1,4,B2000000,14
1,2,G7000000,17
1,1,D4000000,15
1,5,A1010000,15
4,1,G7000000,31
4,1,A1010000,9
2,6,H8000000,20
4,5,H8000000,34
4,1,G7000000,4
2,5,G7000000,10
4,1,A1010000,19
4,5,C3000000,8
3,6,E5000000,2
2,1,C3000000,13
3,5,H8000000,7
4,2,H8000000,8
1,6,H8000000,4
3,3,C3000000,8
2,3,C3000000,17
1,5,D4000000,29
2,1,D4000000,1
3,3,B2000000,22
1,4,F6000000,3
2,1,G7000000,8
4,3,E5000000,20
1,2,F6000000,19
1,2,G7000000,10
4,4,G7000000,13
3,3,D4000000,4
4,3,A1010000,19
3,2,G7000000,22
3,1,D4000000,27
3,1,A1010000,10
2,4,C3000000,17
3,1,D4000000,7
1,6,E5000000,7
3,6,H8000000,10
4,1,H8000000,4
2,3,D4000000,17
2,4,D4000000,16
4,3,G7000000,14
3,4,H8000000,6
4,2,B2000000,17
1,1,C3000000,11
2,1,E5000000,7
1,4,F6000000,5
4,5,A1010000,20
1,4,E5000000,8
1,2,H8000000,9
4,2,A1010000,31
3,1,E5000000,5
4,3,C3000000,2
4,1,D4000000,15
3,2,H8000000,12
3,3,H8000000,15
2,3,A1010000,33
3,4,B2000000,6
1,3,G7000000,31
3,1,H8000000,10
2,4,F6000000,4
4,3,F6000000,1
2,4,H8000000,12
4,4,F6000000,9
3,2,A1010000,17
4,2,H8000000,18
3,6,H8000000,9
1,5,F6000000,4
4,2,F6000000,7
2,4,H8000000,4
2,6,G7000000,6
1,1,D4000000,10
2,5,G7000000,25
4,2,G7000000,11
2,2,E5000000,5
4,5,F6000000,3
1,6,F6000000,10
1,1,A1010000,5
4,3,G7000000,7
1,4,F6000000,8
4,6,C3000000,14
4,2,D4000000,6
3,1,C3000000,3
1,6,E5000000,18
1,6,C3000000,13
1,1,E5000000,5
4,1,G7000000,5
4,3,D4000000,17
3,6,A1010000,10
4,5,A1010000,7
2,1,F6000000,8
1,1,H8000000,9
4,3,C3000000,15
1,6,E5000000,2
2,3,B2000000,19
4,1,E5000000,17
2,2,A1010000,2
1,3,G7000000,7
4,1,F6000000,18
1,5,D4000000,4
4,5,C3000000,10
2,1,G7000000,15
1,2,G7000000,11
1,5,G7000000,7
2,3,F6000000,4
1,3,C3000000,20
2,6,B2000000,12
2,1,G7000000,17
1,5,H8000000,32
3,5,E5000000,4
2,1,A1010000,16
3,6,A1010000,6
1,1,D4000000,16
1,5,G7000000,17
2,3,E5000000,23
3,2,E5000000,12
1,5,E5000000,5
2,3,G7000000,4
1,1,D4000000,10
1,1,F6000000,13
2,1,H8000000,9
4,5,H8000000,5
3,1,G7000000,6
3,5,C3000000,1
1,2,B2000000,29
4,2,G7000000,6
3,4,F6000000,28
4,4,E5000000,3
3,3,F6000000,4
2,3,H8000000,10
3,3,F6000000,3
2,5,D4000000,24
2,6,C3000000,6
1,3,D4000000,17
1,6,A1010000,10
3,6,C3000000,7
3,1,B2000000,10
3,5,H8000000,20
1,2,H8000000,1
1,4,E5000000,10
2,4,E5000000,9
2,4,H8000000,1
2,4,C3000000,4
1,5,E5000000,2
4,5,F6000000,1
1,5,F6000000,15
4,4,F6000000,4
1,3,F6000000,1
2,3,C3000000,6
3,1,D4000000,17
2,3,F6000000,2
1,4,D4000000,2
1,4,B2000000,14
3,3,C3000000,7
1,5,B2000000,16
3,1,E5000000,15
4,6,H8000000,18
4,1,A1010000,4
2,6,C3000000,8
1,1,D4000000,19
4,3,D4000000,32
4,5,E5000000,22
4,5,C3000000,28
4,1,G7000000,16
2,2,C3000000,7
4,5,A1010000,11
2,4,C3000000,17
2,3,D4000000,6
4,5,G7000000,2
4,1,H8000000,34
4,4,D4000000,19
4,2,D4000000,1
2,6,F6000000,8
2,4,F6000000,7
1,6,F6000000,2
4,4,C3000000,30
4,1,G7000000,6
3,3,E5000000,7
4,4,D4000000,16
1,5,C3000000,4
2,2,C3000000,18
1,5,C3000000,7
4,5,G7000000,10
1,6,A1010000,10
3,1,G7000000,19
1,1,G7000000,16
1,2,E5000000,5
1,3,E5000000,1
4,1,B2000000,4
1,2,A1010000,12
2,1,D4000000,24
4,6,B2000000,18
4,5,G7000000,8
4,1,H8000000,10
4,6,H8000000,8
1,6,D4000000,11
4,6,B2000000,5
3,6,H8000000,2
1,2,D4000000,6
2,3,E5000000,6
4,6,C3000000,3
4,5,F6000000,1
2,1,A1010000,3
2,4,F6000000,1
3,5,G7000000,1
3,6,B2000000,1
1,3,C3000000,3
3,2,H8000000,13
4,4,A1010000,5
4,3,H8000000,8
1,1,A1010000,30
1,3,A1010000,2
3,5,F6000000,9
1,3,F6000000,2
1,2,C3000000,4
3,4,E5000000,1
1,4,D4000000,19
4,6,A1010000,27
3,4,F6000000,4
1,5,H8000000,6
1,2,D4000000,7
3,2,C3000000,7
2,2,A1010000,15
1,3,H8000000,15
1,2,H8000000,34
3,2,A1010000,5
3,4,F6000000,17
2,3,B2000000,10
1,4,G7000000,10
3,6,B2000000,3
2,1,D4000000,9
4,4,C3000000,10
4,4,D4000000,21
3,5,E5000000,27
3,6,A1010000,7
1,1,H8000000,12
1,5,B2000000,24
2,3,D4000000,8
2,3,G7000000,4
1,6,H8000000,9
2,5,A1010000,3
4,1,F6000000,10
1,2,F6000000,15
1,5,A1010000,14
3,3,C3000000,9
2,2,H8000000,10
3,4,H8000000,19
1,2,B2000000,14
4,5,F6000000,8
1,5,G7000000,10
3,6,C3000000,4
2,6,F6000000,27
1,3,B2000000,15
3,4,B2000000,9
2,6,D4000000,14
2,6,A1010000,1
3,3,F6000000,20
3,5,E5000000,5
4,1,D4000000,4
2,6,B2000000,5
1,1,D4000000,5
3,2,A1010000,22
1,1,G7000000,6
2,3,B2000000,18
1,2,A1010000,7
2,1,G7000000,8
2,5,C3000000,6
1,2,F6000000,13
3,3,B2000000,4
1,6,E5000000,8
3,3,C3000000,3
3,1,D4000000,18
3,3,H8000000,2
3,5,A1010000,13
3,6,F6000000,6
2,4,D4000000,14
2,3,G7000000,8
2,5,C3000000,3
1,1,A1010000,8
3,4,G7000000,4
1,5,H8000000,3
1,3,G7000000,6
1,6,H8000000,24
1,2,B2000000,12
1,3,C3000000,14
4,2,F6000000,17
2,5,D4000000,15
3,6,D4000000,22
3,3,E5000000,35
4,4,A1010000,17
1,2,A1010000,18
3,6,F6000000,14
4,3,E5000000,10
2,5,F6000000,9
1,1,H8000000,18
4,5,G7000000,16
1,4,C3000000,2
3,5,D4000000,19
3,6,G7000000,6
2,1,E5000000,7
2,3,F6000000,2
4,6,G7000000,29
4,3,F6000000,10
2,5,H8000000,9
1,1,E5000000,9
1,5,G7000000,6
4,3,E5000000,8
3,6,D4000000,27
3,3,H8000000,3
2,2,H8000000,3
4,3,A1010000,7
2,4,C3000000,11
4,2,B2000000,14
3,5,B2000000,15
2,3,H8000000,8
2,1,B2000000,5
3,6,H8000000,5
1,4,A1010000,3
4,4,G7000000,9
1,4,E5000000,20
2,6,B2000000,18
1,3,F6000000,5
4,4,A1010000,29
2,4,D4000000,3
4,3,A1010000,12
3,1,C3000000,9
4,1,D4000000,5
1,3,G7000000,8
3,3,D4000000,7
2,2,B2000000,1
1,1,F6000000,25
2,3,B2000000,7
3,3,C3000000,1
1,2,F6000000,9
2,1,F6000000,19
2,6,G7000000,5
2,2,E5000000,2
2,2,F6000000,12
3,1,A1010000,18
2,4,G7000000,26
3,5,E5000000,7
3,1,F6000000,19
4,2,G7000000,9
4,2,B2000000,4
3,3,B2000000,10
2,4,F6000000,3
2,2,E5000000,31
4,5,D4000000,2
2,2,A1010000,11
4,3,C3000000,10
1,4,F6000000,3
3,1,E5000000,18
4,6,H8000000,16
3,2,B2000000,1
4,4,G7000000,33
2,1,F6000000,1
4,5,H8000000,1
1,5,H8000000,6
1,3,A1010000,12
3,3,E5000000,11
3,3,G7000000,29
1,3,A1010000,13
1,4,H8000000,7
1,5,E5000000,12
4,4,D4000000,12
2,6,C3000000,9
2,5,B2000000,9
2,2,E5000000,8
1,3,C3000000,14
4,2,C3000000,4
4,2,D4000000,9
4,6,E5000000,4
4,4,C3000000,32
2,3,E5000000,3
2,3,B2000000,17
1,1,F6000000,4
1,6,D4000000,33
1,1,A1010000,18
1,6,C3000000,6
4,3,A1010000,12
1,2,E5000000,25
1,2,D4000000,16
4,4,D4000000,10
2,3,G7000000,1
4,4,D4000000,11
1,2,C3000000,8
2,6,H8000000,17
2,3,G7000000,21
2,2,E5000000,7
3,2,F6000000,3
1,2,H8000000,11
2,3,G7000000,6
1,3,E5000000,5
4,6,D4000000,13
4,1,F6000000,15
4,3,H8000000,32
4,6,E5000000,9
3,5,F6000000,6
4,3,E5000000,20
4,2,D4000000,1
4,2,E5000000,13
1,3,D4000000,26
1,1,F6000000,1
2,2,H8000000,4
2,1,H8000000,23
3,4,C3000000,19
1,2,F6000000,4
1,6,G7000000,2
3,4,B2000000,13
4,2,F6000000,13
2,5,C3000000,4
3,5,E5000000,1
1,2,A1010000,17
4,3,F6000000,28
3,4,H8000000,7
4,1,B2000000,14
2,4,C3000000,8
2,1,D4000000,1
3,2,E5000000,9
1,4,C3000000,4
4,1,E5000000,5
3,4,C3000000,5
4,5,F6000000,19
1,6,D4000000,9
3,5,D4000000,12
3,6,A1010000,6
3,5,G7000000,6
3,1,B2000000,1
4,6,H8000000,10
3,5,A1010000,9
4,3,B2000000,17
1,1,H8000000,12
4,1,B2000000,17
2,6,G7000000,3
2,1,A1010000,4
4,3,E5000000,1
3,1,H8000000,16
4,3,G7000000,28
3,4,D4000000,8
2,2,G7000000,14
1,5,G7000000,3
2,6,G7000000,15
1,2,A1010000,10
1,4,E5000000,8
2,4,G7000000,11
2,5,H8000000,4
1,5,B2000000,5
4,5,B2000000,6
2,4,A1010000,20
1,2,G7000000,2
3,1,G7000000,9
1,4,C3000000,1
1,3,F6000000,6
2,4,A1010000,9
3,3,C3000000,4
1,1,D4000000,33
3,5,B2000000,17
2,4,A1010000,35
1,4,G7000000,12
2,5,B2000000,7
1,5,H8000000,16
1,6,C3000000,8
1,6,G7000000,24
1,4,F6000000,17
4,5,F6000000,14
3,5,H8000000,9
2,2,A1010000,5
3,1,B2000000,29
4,5,G7000000,6
1,5,B2000000,1
2,2,G7000000,1
3,6,G7000000,1
1,2,E5000000,11
4,2,B2000000,11
3,2,H8000000,18
1,6,A1010000,10
1,3,G7000000,13
2,2,C3000000,14
3,6,H8000000,14
3,6,E5000000,2
2,5,D4000000,6
4,4,C3000000,17
3,6,E5000000,1
4,1,C3000000,7
1,1,C3000000,1
4,2,H8000000,6
1,2,A1010000,6
3,2,C3000000,19
4,4,B2000000,18
1,2,G7000000,15
3,2,B2000000,21
2,4,D4000000,9
4,5,C3000000,1
1,6,C3000000,5
4,1,F6000000,31
3,3,B2000000,19
3,6,F6000000,7
1,3,F6000000,3
3,5,G7000000,18
2,2,H8000000,10
4,6,A1010000,8
2,3,F6000000,5
1,3,C3000000,1
3,5,C3000000,3
1,6,C3000000,24
2,2,H8000000,14
3,4,H8000000,18
3,5,A1010000,15
3,3,A1010000,19
1,5,H8000000,6
1,6,H8000000,23
4,2,B2000000,4
4,1,F6000000,7
4,1,B2000000,1
1,4,E5000000,16
4,6,D4000000,8
1,6,H8000000,9
2,5,D4000000,4
4,6,A1010000,35
3,1,G7000000,9
4,4,F6000000,9
1,4,G7000000,4
4,6,F6000000,7
4,5,G7000000,33
3,5,A1010000,16
1,2,D4000000,12
1,4,D4000000,25
1,2,G7000000,12
1,5,A1010000,8
2,4,G7000000,7
